#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
zmj	怎么讲	怎么就	在民间
zml	怎么了	子目录	祖母绿
zmm	做买卖
zmn	怎么能	怎么弄
zmq	奏鸣曲	自贸区	在目前
zms	怎么算	怎么送
zmu	怎么说	在面试
zmv	怎么着	造梦者	怎么找
zmx	怎么写	怎么行	怎么选
zmy	怎么样	怎么用	在没有
zmz	怎么做	字幕组
znl	在哪里
znn	在哪呢
zql	责权利	组起来
zqm	最起码	最全面	在前面
zrh	自然会
zrm	自然码
zrw	自认为	总任务	则认为
zrx	责任心	责任险
zth	座谈会	紫藤花
ztx	走天下	坐天下
zub	座上宾	在身边
zul	早说了
zvd	早知道	增长点	最终的
zvg	在这个
zvh	总指挥	子账号
zvl	在这里	增长率	自制力
zvn	在这呢
zvq	自治区	走着瞧	在之前
zxi	自行车	在现场
zxl	坐下来	在心里
zxq	走下去	做下去
zyb	再也不	作业本
zyc	再一次	在一次	做一次
zyd	自由度	早一点	怎样的
zyg	做一个	自由港
zym	座右铭	自由面
zyw	自以为	总以为	在野外
zyx	做一些	做一下
zyy	自由泳	作用域	总医院
zzn	坐在那
zzx	自尊心	早自习
zzy	再怎样
mgy	每个月	莫过于
aba	爱不爱	艾比安
abg	熬不过	阿兵哥
abj	矮半截	阿布贾
abl	阿波罗	埃博拉	按比例
abv	熬不住	按标准
acl	按错了	爱错了
ade	安道尔	奥多尔
aef	阿尔法	埃尔法
ael	爱尔兰	奥尔良
afh	阿富汗	案发后
aft	阿凡提
agl	安哥拉
hgl	很给力	花光了	盎格鲁
agt	阿根廷
agv	爱国者
ahu	安徽省
ail	按常理	按出来
ajl	安静了	安吉拉
ajs	氨基酸
alb	阿拉伯	阿鲁巴	按喇叭
ald	阿拉丁	爱劳动
alq	阿联酋
alu	按理说	安禄山
aly	安乐椅	阿里云	艾莉亚
amy	安眠药	按摩椅
amz	爱面子
amv	爱慕者
aqg	安全感	爱情观
aqh	爱琴海
aqj	安全局	爱清洁
aqp	爱情片	安全牌
aqx	安全性	安全线
aqz	安全组	挨枪子
asg	阿三哥
ask	奥斯卡	爱思考
asl	奥斯陆	爱死了
atj	凹透镜	奥陶纪	凹凸镜
atu	安徒生	阿图什
aum	阿诗玛	啊什么
auu	爱谁谁	鞍山市
avb	安装包	安装版
awh	奥委会	安委会
ayw	哎呦喂	哎哟喂
azb	艾滋病
bbh	并不会	版本号	不包含
bbi	办不成	不包吃
bbq	北半球	保不齐
bbt	棒棒糖	半边天
bby	不必要	北冰洋	不包邮
bbx	并不想	百宝箱	不保险
bcl	不错了	报错了
bdv	变电站	别当真
bdz	半吊子	布袋子
bfh	暴发户	百分号	不符合
bfy	暴风雨	不富裕
bfz	不负责	不复杂
bgd	不敢当	巴格达	不固定
bgm	帮个忙	不感冒
bhb	不会吧	刨花板	不好吧
bhh	白花花	保护好	不好喝
bjh	比较好	北极狐	不计划
bjx	百家姓	八角形	北极熊
bjy	不经意	不建议	不均匀
bjz	败家子	摆架子	包饺子
bky	不可以	不可用
blb	玻璃杯	白萝卜	拔萝卜
blc	不理睬	八里村
bld	便利店	白兰地
blf	别浪费	布洛芬
blg	板蓝根	拨浪鼓	巴拉圭
blh	博览会	不灵活
blk	不离开	布鲁克
bll	不聊了	白亮亮	不良率
blm	贝雷帽	爆冷门	菠萝蜜
blq	保龄球	不留情	避雷器
bls	不利索	玻璃丝	辩论赛
blu	不论是	比利时
blw	芭蕾舞	宝莱坞	玻璃碗
bly	不利于	不乐意
bmb	不明白	报名表
bmn	本命年	白毛女
bmy	并没有	不满意	兵马俑
bnl	别闹了	不努力
bnv	白内障	帮你找
bps	不怕死	不配送
bpy	不便宜
bqd	不确定	不恰当
bqr	不求人	白切肉
bqt	包青天	白鳍豚	标签贴
brv	不认账	白日撞	不认真
buu	办实事
bsw	波斯湾	不算晚
bsx	不死心	冰丝席
bte	白天鹅	摆摊儿
btf	白头发	不通风	不透风
btg	不太敢	不提供	不通过
bti	不提倡	半脱产	鼻涕虫
btj	不推荐	不提交
btm	半透明	不透明
btq	趵突泉	不听劝	不透气
btt	扁桃体	半条腿
btu	半桶水	不挑食	不太熟
btw	白头翁	别太晚	被投喂
bui	办事处	不擅长
buw	不失为	掰手腕	不是我
bvf	标识符	辩证法	补助费
bvj	保证金	不着急
bvm	不知名	标准煤	本周末
bwv	不完整	把握住	保卫战
bxb	不行吧	便携版	白血病
bxg	不习惯	不相干	不锈钢
bxm	不行吗	不香吗
bxp	必需品	便携屏
bxx	不小心	不相信	不信邪
bxy	不需要	不屑于	不想要
byb	不一般	比一比	毕业班
byc	贬义词	褒义词
byd	不一定	不由得	比亚迪
byf	八月份	搬运费
byg	不应该	不用管
byj	不要紧	备用金
byl	不要脸	不用了	白眼狼
byt	不要太	病原体	避孕套
byu	毕业生	不要说	不用说
byw	本以为	被誉为
byx	不允许	不影响	必要性
byz	白羊座	布依族	摆样子
bzh	不在乎
bzx	不自信	不在线	不在行
bzi	不赞成	不在场
bzj	不自觉	不在家
bzl	不早了	不自量	不做了
bzm	不怎么	别做梦
bzq	不足取	变阻器
bzr	不自然	把责任
bzu	不再是	不早说
bzw	不作为	被作为
bzy	不足以	不在于	不在意
bzz	不自在	包粽子
cbd	猜不到	擦不掉
cbl	错不了	参变量	测不了
cbu	才不是	凑不上
cbv	藏不住	猜不着	存不住
cbz	错别字	菜包子
ccc	猜猜猜	噌噌噌
cch	擦擦汗	擦擦灰
ccp	残次品	从磁盘
cdl	次大陆	猜到了	猜对了
cgj	擦干净	踩过界
cgl	错过了	采购量
chj	催化剂	才回家
ckn	才可能
cku	才开始	参考书
clb	从来不	材料表
clc	擦了擦	材料仓
clx	策略性	磁力线	材料学
cmm	村民们	藏猫猫	草莓苗
cmq	催眠曲	从目前
cmr	聪明人	草木染
cmy	从没有	催眠药	才没有
cng	才能够	慈宁宫
cql	藏起来	存起来
ctz	醋坛子	菜摊子	菜团子
cub	次声波	测试版
cvj	财政局	采摘节
cvy	侧重于
ivy	出主意	成这样	垂直于
cwh	村委会	财务会
cwl	错误率	测完了
cxf	磁悬浮	促销费
cxy	磁效应	才需要	促销员
cyb	搓衣板	葱油饼
cyd	参与度	策源地	参与到
czg	存在感	操纵杆	曾做过
czt	操作台	草字头
dbd	得不到	对不对	动不动
dbf	大部分	蛋白粉
dbi	打不出	大巴车
dbj	等不及	低不就	都比较
dbk	打不开	躲不开
dbm	蛋白酶	道不明
dbr	倒不如	都不如
dbt	代表团	大白天	打白条
dbu	大别山	都不是	倒不是
dbv	蛋白质	对不住
dbx	代表性	电冰箱	都必须
dby	大本营	大半夜	都不用
dbz	代表作	带不走
dcl	电磁炉	打错了
ddl	得到了	大道理	达到了
ddp	电灯泡	打地铺
ddq	对得起	迭代器	打蛋器
deb	第二步	第二遍
dec	第二次	第二层
deg	第二个	第二关
dem	第二名	第二幕
den	第二年	蒂尔尼
deq	大而全	第二期
dfb	电饭煲	定风波
dfd	大幅度	大饭店
dfg	电饭锅	地方官	大法官
dfh	东方红	大富豪
dfm	单方面	多方面	等方面
dfr	豆腐乳	东方人
dfv	地方志	豆腐渣	大发展
dfx	大方向	地方性
dfy	丹凤眼	当翻译
dgb	打个包	当过兵
dgg	大哥哥	顶呱呱	打广告
dgi	胆固醇	代工厂
dgm	大规模	大革命
dgn	多功能	等功能
dgq	打过去	道个歉	打官腔
dhg	读后感	都会给
dhh	电火花	都很好	打哈哈
dhi	大合唱	大货车
dhs	导火索	胆红素
dih	倒春寒	调查和
dil	洞察力	打出了
dju	倒计时	胆结石	大街上
dkn	都可能	都困难
dlb	得了吧	大老板
dlc	大老粗	第六次
dld	多伦多	顿了顿	大量的
dlg	第六感	打了个
dlh	低龄化	度量衡
dlj	多了解	邓丽君
dll	带来了	低利率	都来了
dlm	对立面	到了吗
dlq	多了去	打篮球
dlr	代理人	大陆人
dlt	大冷天	大乐透	电路图
dlu	大理石	道路上
dlx	独立性	地理学	动力学
dly	大老远	冬令营	独立于
dlz	独龙族	都来自	掉链子
dmc	代名词	动名词
dmq	独木桥	但目前
dne	低能儿	丹尼尔
dnh	多年后	多瑙河	大男孩
dny	东南亚	大年夜	都能用
dpd	大排档	大盘点
dpw	肚皮舞	杜培武
dpx	地平线	堆排序
dqc	大气层	地球村	第七次
dqh	电气化	到期后
dqs	道琼斯	黛绮丝
dqv	当权者	第七章
dri	单人床	丁汝昌
dsg	第三个	单色光	第四个
dsn	第三年	迪斯尼
dtb	大头兵	跌停板	大踏步
dte	呆头鹅	地摊儿
dth	洞庭湖	地摊货
dtl	到头来	代替了
dtq	大提琴	带他去
dtt	大头贴	断头台	动态图
dtv	打头阵	地铁站
dty	等同于	大团圆
dub	大手笔	多少遍	登山包
dvd	都知道	地质队	但直到
dvg	对着干	动真格	对中国
dvq	等着瞧	敌占区	读者群
dvx	大闸蟹	大中型	地质学
dwk	吊胃口	对胃口
dww	大无畏	第五位
dwy	动物园	动物油	定位于
dxb	单行本	大小便	癫痫病
dxd	单行道	代销店	典型的
dxe	店小二	杜雪儿
dxf	东西方	点下方
dxg	胆小鬼	大峡谷
dxh	都喜欢	灯下黑	低消耗
dxi	大学城	多线程
dxj	大小姐	电信局	大型机
dxl	掉下来	大学里
dxm	大熊猫	刀削面	点线面
dxq	掉下去	打下去
dxs	单相思	大像素
dxt	低血糖	多选题
dxu	大学生	地下室	对学生
dxx	大猩猩	大小写	短消息
dxy	大西洋	都需要
dxz	东乡族	到现在
dyb	第一步	第一遍
dyc	第一次	第一层
dyf	独一份	第一份
dyg	第一个	都应该
dyi	打圆场	第一场
dyn	第一年	对于你
dyr	代言人	第一人
dyy	电影院	都一样	得益于
dzh	大杂烩	钉子户	到最后
dzq	电子琴	打砸抢
dzw	都在玩	地藏王	对自我
ebe	饿不饿	二百二
ebf	耳边风	而并非
ebh	而不会	耳鼻喉	而变化
ebl	饿扁了	二比零
ebn	而不能	二百年
ebq	而不去	二不抢
ebs	而不是	饿不死	而伴随
eby	而不用	而不应
edj	二等奖	二当家
edz	饿肚子	二等座
epg	阿房宫
ege	恩格尔
egt	二锅头
ehh	恶狠狠	诶嘿嘿
ehy	二合一	儿化音	而后又
eiu	二叉树	二传手	而产生
ejd	二季度	而降低
elt	二郎腿	二联体
elu	鹅卵石	二郎神
emu	峨眉山	鹅毛扇	恶魔兽
enj	二年级
esl	饿死了	二三流
esu	二三十	二三事
etj	儿童节	二头肌
eub	二十八	而是把
eud	二十多	二十点
eue	二十二	二是二
euj	二十九	二十几
eul	二十六	恶势力
eun	二十年
euq	二十七	而生气
eus	二十岁	二十四	二十三
euw	二十五	二十万
euy	二十一	而是要
euz	二世祖	二傻子	二十字
evi	二指禅	而著称
exy	二选一
eyf	二月份
fbi	发不出	分不出	帆布床
fbk	分不开	放不开
fbl	分辨率	发布了
fbm	方便面	方便吗
fbq	分不清	分布区	付不起
fbv	犯不着	防不住
fbx	放不下	封闭型	帆布鞋
fby	翻白眼	反编译	服兵役
fcl	发错了	发财了
fdd	反对党	肥嘟嘟	发达的
fdg	梵蒂冈	分蛋糕
fdi	房地产	发电厂
fdm	防盗门	肺动脉
fdp	反对派	反动派
fdu	反倒是	浮点数	放大率
fdy	辅导员	副导演
fed	富二代	菲尔德
fes	凡尔赛
fib	非常棒	非出版
fid	非常多	非常大	非常道
fif	非处方	肥肠粉	风吹拂
fig	非常高	非常规
fii	非常差	罚出场
fij	放长假	副处级
fik	非常快	妇产科
fim	非常慢	非常忙	防沉迷
fin	非常难	范畴内
fiq	非常强	发出去
fir	非常热	非常人	范纯仁
fiu	方程式	房产税	非常少
fiv	房产证	房产主	复仇者
fix	防潮箱	放长线
fjx	分界线	发际线	风景线
fkd	防空洞	疯狂地
fkp	防空炮	放空炮
fkz	方块字	冯裤子
fla	氟利昂	法雷奥
fli	翻了车	翻了船	分离出
fll	法拉利	风里来	负利率
flp	飞利浦	菲利普
flq	发令枪	费力气	福利群
fls	发牢骚	凤梨酥
flw	法令纹	法老王
fly	福利院	傅立叶
flz	负离子	弗雷泽
fml	发霉了	放慢了
fmm	敷面膜	傅某某
fmp	非卖品	仿冒品
fmt	飞毛腿	富媒体
fmw	分泌物
fmy	驸马爷	非贸易	腹膜炎
fnh	府南河	风怒号
fnj	妇女节	腓尼基
fpl	废品率	分配率
fpq	发脾气	分配权
fqd	夫妻店	分歧点
fqh	粉切黑	凤求凰	风情画
fqv	番茄钟	番茄汁	肺气肿
frd	副热带	法人的
frj	缝纫机	夫人家
fsr	烦死人
fss	非诉讼	风嗖嗖
fsx	发散性	粉碎性	分散性
ftj	伏特加	反贪局
fvf	反政府	反证法
fvh	法制化
fvv	发展中	腐殖质	副镇长
fvy	分之一	非专业	非正义
fwi	俯卧撑	服务差
fxd	发祥地	风险低
fxg	方向感	冯小刚
fxj	法学家	抚恤金
fxs	法西斯	风穴寺
fxu	烦心事	法新社	分析师
fxy	飞行员	负效应	法学院
fyc	反义词	方言词
fyd	发源地	反应堆	复印店
fyg	发言稿	发一个	翻译官
fyj	复印件	复印机	发邮件
fyl	反映了	发芽率	赋予了
fyq	发言权	翻译器
fyx	发一下	防御性	法医学
fzg	负罪感	副总管
fzx	复杂性	犯罪学
fzy	副作用	反作用
gat	港澳台	公安厅
gbb	干巴巴	根本不
gbd	怪不得	搞不懂	搞不定
gbg	该不该	够不够	敢不敢
gbh	搞不好	工笔画	更不会
gbi	高不成	构不成	改编成
gbj	赶不及	广播剧
gbl	管不了	改变了
gbm	各部门	宫本茂
gbn	更不能	哥白尼
gbq	过不去	搞不清
gbt	戈壁滩	搞半天	更别提
gbu	更别说	跟不上	赶不上
gbv	高标准	管不住	管不着
gbx	根本性	鬼把戏
gby	过把瘾	冈比亚	个把月
gbz	光膀子	盖被子
gcu	高材生	高才生
gdp	高电平
gdq	过得去	各地区
gdu	广东省	跟得上	赶得上
gdz	光电子	鬼点子
gfh	规范化	更符合
gfq	高峰期	管风琴
gfx	高风险	规范性
gih	国产化	工程化
gij	歌唱家	工程机	更持久
giu	工程师	刚出生
giw	刚吃完	广场舞
gji	公交车	拐角处
gjj	公积金	高精尖	更接近
gjz	关键字	估计在
gkj	高科技	光刻机
gks	公开赛	更快速
gkx	公开信	更科学
gln	过两年	给了你
glr	过来人	管理人
gmq	公民权	冠名权	给母亲
gmv	革命者	擀面杖	购买者
gmx	革命性	过敏性	更明显
gnd	高难度	高浓度
gnn	姑奶奶	狗男女
gnq	更年期	更年轻
gnw	国内外	归纳为
gnx	功能性	概念性
gpg	狗皮膏	光屁股
gpi	跟屁虫	龚鹏程
gpx	公平性	光谱线	干趴下
gqd	高强度	过去的
gqi	搞清楚	更清楚
gqj	国庆节	宫崎骏
gql	过去了	公权力	供求率
gqm	鬼敲门	更全面
gqt	共青团	跟其他
gqx	观其行	高清晰	公切线
gtb	改天吧	钢铁般
gtc	感叹词	光涂层
gtd	共同点	光头党
gtf	过堂风	刮台风
gth	个体户	感叹号
gti	共同处	钢铁厂	更突出
gtj	更贴近	国土局
gtl	光通量	改天聊	古天乐
gtn	管他呢	光头男
gts	古铜色
gvh	公众号
gwb	公文包	给我爸
gwu	个位数	跟我说
gwy	公务员	国务院
gyd	高压电	过一段	高一点
gyj	工业界	冠亚军	公益金
gyp	工艺品	工业品
gyq	公元前	工业区	更有趣
gyv	公有制	更严重	过一阵
gyx	改一下	公益性	高压线
gyy	归因于	更愿意
hax	海岸线	海安县
hbb	汉堡包	好爸爸
hbc	还不错	黑板擦	很不错
hbf	好办法	环保法
hbg	还不够	很宝贵
hbj	还比较	环保局
hbk	还包括	还不快
hbq	回不去	很抱歉
hbr	还不如	河北人	湖北人
hbt	好半天	赫伯特
hbu	河北省	湖北省	红宝石
hbv	还不止	和帮助
hbw	花不完	还被我
hby	后半夜	好榜样	很必要
hdc	喝倒彩	好多次	很多次
hdh	划等号	好得很	鹤顶红
hdn	很多年	好多年	华达呢
hdr	很多人	好多人
heb	哈尔滨	好二本
hfl	恢复了	核废料	花费了
hgd	好感度	哈工大	花骨朵
hgh	回个话	会更好
hgq	昏过去	好歌曲
hgv	合格证	会跟着
hhf	换行符	后恢复	何海峰
hhj	黑胡椒	哈哈镜	化合价
hhr	合伙人	会很热
hhy	后悔药	混合泳	还会有
hhz	好孩子	还会在
hid	好吃的	汉成帝
hif	好处费	很充分
hih	护城河	火柴盒
hii	昏沉沉	洪承畴
hij	回车键	很常见
hiu	候车室	火车上
hiv	火车站	怀揣着
hjn	好几年	海军呢
hkb	户口本	户口簿	很恐怖
hkj	黑科技	航空局	海空军
hky	还可以	航空业
hlg	火龙果	后两个
hlm	红楼梦	好了吗
hlp	黄脸婆	很离谱
hmb	毫米波	坏毛病	很明白
hmc	花名册	好名次
hmf	很麻烦	好麻烦
hmg	哈密瓜	黑命贵	很敏感
hmm	灰蒙蒙	很迷茫
hmq	回马枪	很勉强
hms	红霉素	还没死
hmx	很明显	毁灭性	黄梅戏
hnd	海南岛	很难得
hnj	回娘家	混凝剂	很难记
hnt	混凝土	怀念他
hnu	后脑勺	河南省	湖南省
hnz	哈尼族	还能在
hpg	和平鸽	黑苹果
hpj	黄浦江	喝啤酒
hpm	海平面	和平门
hpp	红扑扑	灰扑扑
hpy	好朋友	很便宜
hqd	何其多	很强大
hqi	很清楚	好去处
hql	回去了	合情理	喝起来
hqq	黑漆漆	黑黢黢	很亲切
hqt	核潜艇	或其他
hqu	换气扇	黄秋生
htc	回头草	活土层	花田错
hte	黑天鹅	好天儿	合同额
htg	合同工	猴头菇	还提供
hth	皇太后	很听话
htj	航天局	回头见	回趟家
htk	回头客	黄铜矿	很痛苦
htl	滑铁卢	回头率	回头路
htr	核桃仁	火腿肉	后腿肉
htt	活脱脱	红彤彤
htu	合同书	火头上	和同事
htw	横条纹	回头望
htz	皇太子	黑体字
huj	后视镜	花时间
hur	红烧肉	很少人	花生仁
hwg	和为贵	宏微观
hwn	哈瓦那	很无奈
hwq	核武器	婚外情
hwx	红外线	海王星
hwy	画外音	还未有
hxb	还行吧	回旋镖	滑雪板
hxl	候选栏	活下来
hyb	很一般	红眼病	喝一杯
hyf	婚姻法	会议费	换衣服
hyh	缓一缓	欢迎会	很遗憾
hyl	回忆录	欢迎来
hyq	黑眼圈	红缨枪	话语权
hzh	洪泽湖	很在乎
ibb	吃不饱	场不败
ibf	吃白饭	吃饱饭
ibi	吃不吃	查不出
ibk	吃不开	储备库
ibv	撑不住	传播者
ibx	吃不消	吃不下	传播学
icy	吃错药	常采用
idd	沉甸甸	传动带	彻底的
idk	吃得开	吃大亏
idl	吃多了	吃得来	吃到了
idq	充电器	超短裙	称得起
idx	吃得下	吃得消	吃东西
ifl	吃饭了	长方脸	重复率
ifq	冲锋枪	吃饭去
igs	车管所	常规赛	吃官司
iiq	传出去	冲出去
ijt	长镜头	肠绞痛
ijv	持久战	创建者
ikb	触控板	触控笔
ikg	长宽高	陈凯歌
ikt	创可贴	创口贴
ilf	炒冷饭	差旅费
ili	查了查	戳了戳	尝了尝
ilp	处理品	陈列品
ilq	处理器	成立前
ilv	车轮战	创立者
imd	崇明岛	长明灯
imm	重命名	撑门面
imp	触摸屏	炒面片
imu	触摸式	场面上
imv	充满着	沉默着
imy	沉迷于	沉湎于
inb	吹牛逼	朝那边
inj	刹那间
inl	超能力	吃腻了
inm	处女膜	肠黏膜
inr	成年人	吃牛肉
inz	处女作	处女座
iqu	重庆市	常青树
iqw	出去玩
itn	出头鸟
itt	赤条条	尝甜头
itx	长筒靴	超脱性	穿透性
ity	差太远	初体验
ivb	成正比	初中部
iwf	吃完饭	成文法	吃午饭
iwh	常委会	吃完后
iwj	储物间	出外景
iwt	出问题	成问题
iww	颤巍巍	成为我
iwx	储物箱	常温下
ixf	吃闲饭	穿校服
ixl	出现了	持续了
ixq	吃下去	出线权	沉下去
ixs	储蓄所	长相思
iyb	创业板	吃一半
iys	超音速	朝阳寺
izl	创造力	创造了
jav	紧挨着	就按照
jbf	加班费	基本法
jcc	急匆匆	金灿灿	决策层
jcl	记错了	就惨了
jdd	娇滴滴	简单的
jdf	借贷方	京东方
jdj	基督教	教大家
jdl	讲道理	几点了	惊呆了
jdq	经得起	决定权
jdu	绝对是	简单说
jdx	阶段性	决定性
jdy	就等于	筋斗云	就读于
jeg	就是个	今儿个	饥饿感
jfp	警匪片	假发票
jfq	解放前	就放弃
jft	激发态	简繁体
jfu	假分数	紧肤水	教辅书
jfv	几分钟	肩负着	夹缝中
jfx	见分晓	积分学	就发现
jgj	挤公交	据估计	肩关节
jgl	见鬼了	举个例	见惯了
jgm	见个面	见过面
jgn	结果呢	就给你
jgp	机关炮	激光炮	截个屏
jgu	金刚石	井冈山	结果是
jgw	甲骨文	就给我
jgz	几个字	金龟子	金刚钻
jhb	就好比	结核病	几乎不
jhg	脚后跟	将会给
jhi	救护车	交汇处	菊花茶
jhj	交换机	就回家
jhm	激活码	接合面	几乎每
jhr	监护人	江湖人
jht	交换台	结合体
jjc	经济舱	芨芨草	荆棘丛
jjf	加减法	激将法	经济法
jjg	肩胛骨	精加工
jji	竞技场	交界处	就经常
jjk	借记卡	净进口	几节课
jjl	解决了	经济林	进给量
jjm	金骏眉	解解闷	假睫毛
jjn	近几年	娇娇女
jjr	经纪人	节假日
jjs	晋级赛	警戒色	急加速
jjt	近几天	加鸡腿	经济体
jnp	纪念品	加农炮
jqn	几千年	禁区内
jqx	进取心	交强险
jru	假如说	尽人事	既然是
jry	金融业	就容易
jtg	晶体管	就通过
jui	寄生虫	急刹车	谏山创
jvf	驾照分	军政府	鸡爪疯
jvj	假正经	就直接
jvk	急诊科	贾樟柯
jvm	就这么	家长们
jvr	截止日	见证人
jvt	晶状体	脚趾头	几张图
jvv	居住证	竞争者
jwb	巨无霸	教务部
jwd	经纬度	建文帝
jwh	居委会	酒文化
jwj	鸡尾酒	禁卫军
jwl	就为了	就完了
jwn	几万年	较往年
jwr	局外人	几万人
jwu	家务事	今晚上
jwv	健忘症	绝望中
jwx	加微信	基围虾	经纬线
jwy	寄望于	几万元
jxp	教学片	荆霄鹏
jxy	仅限于	交响乐	就需要
jys	交易所	解压缩
jyz	基因组	建议在	脚丫子
jzb	尖子班	极坐标	酒糟鼻
jzj	剧作家	就自己
jzt	金字塔	就在他
jzy	就在于	就再也
kbd	看不懂	看不到
kbg	看不惯	看不过	看病贵
kbj	看不见	可不就
kbk	看不看	肯不肯	看不开
kbl	快不了	看不了
kbp	恐怖片	快步跑
kbv	扛不住	靠不住
kbx	可比性	可不行
kby	可不要	空白页
kdd	看得懂	空荡荡	肯定的
kdg	看得惯	快递柜	看到过
kdi	看得出	刻度尺	开倒车
kdl	看到了	看多了	口袋里
kdq	看得起	看得清
kdu	看电视	看得上	肯定是
kdv	靠得住	扛得住
kdy	快递员	看电影	肯定有
kfq	开发区	开放区
kfu	开发商	开放式
kfx	开放性	扣分项	抗风险
kfy	咖啡因	口服液
kfz	开发组	孔夫子
kgb	克格勃	可改变
kgv	恐高症	恐鬼症
khp	科幻片	看黄片
khz	葵花籽	看孩子
kib	开场白	课程表
kid	快车道	考察队	可耻的
kij	空城计	抗冲击
kix	可持续	开创性
kjl	看见了	科技类
kkx	可靠性	可控性
kli	可怜虫	刻录成
kmg	看门狗
kmh	开门红	看漫画
kml	喀麦隆	卡米拉
kmz	扣帽子	可满足
knh	困难户	可能会
knl	困难了	看腻了
knm	可能吗	靠你们
knx	可能性	康乃馨	看那些
kpl	堪培拉	开辟了
kqi	看清楚	空气锤	开汽车
kqu	矿泉水	喀秋莎
krn	看热闹	可容纳
ksx	可塑性	扩散性
kte	卡塔尔	卡特尔
kth	客套话	开通后
ktu	口头上	课堂上
kty	口头语	看太阳
kuh	可视化	口水话
kui	瞌睡虫	开始唱
kuq	看上去	开始前
kwb	勘误表	枯萎病
kwj	矿务局	库文件
kwt	科威特	看问题
kwv	矿物质	渴望着
kxc	空心菜
kxi	开小差	科学城
kxu	亏心事	看小说
kxx	可行性	科学性
kyb	看一遍	可以把
kyd	快一点	可疑的
kyv	客运站	可以转
lbh	老本行	喇叭花	罗宾汉
lbn	老板娘	黎巴嫩
lbp	罗布泊	两边跑
lbt	老半天	礼拜天	罗伯特
lcw	另存为
ldg	老大哥	懒得管
ldk	离得开	来得快
ldn	老大难	老大娘
ldq	懒得去	领导权
ldx	流动性	领导下
ldy	老大爷	老掉牙	罗大佑
lfl	浪费了	刘弗陵
lft	立方体	龙凤胎
lfv	两分钟	来访者
lgb	两个半	老干部
lgd	老古董	连锅端	乐观的
lgg	老公公	老光棍
lgh	泸沽湖	李国豪
lgj	老规矩	老管家
lgk	理工科	来概括
lgr	两个人	六个人
lgv	两个钟	罗贯中
lgy	两个月	略高于	六个月
lhb	领红包	龙虎榜	厉害吧
lhu	两回事	老和尚	留后手
lhx	灵活性	轮滑鞋	梁慧星
lhy	老花眼	林徽因
lji	龙井茶	零基础	垃圾场
ljq	立交桥	拉进群	了解其
ljt	垃圾桶	领奖台
lkq	冷空气	两块钱
lku	流口水	理科生
lkz	两口子	咧开嘴
llk	老两口	理论课
llu	理论上	劳力士
lml	罗梅罗	来没来
lmv	龙门阵	两秒钟
lmz	绿帽子	来满足
lpg	癞皮狗	绿苹果
lph	脸皮厚	脸谱化
lpj	零配件	拉偏架
lpp	老婆婆	乱蓬蓬	柳飘飘
lpy	老朋友	荔浦芋
lqn	两千年	六七年
lrj	老人家	路人甲
lrl	利润率	连日来
lsg	两三个	吝啬鬼	李四光
lsh	络腮胡	牢骚话	两三回
lsj	两三句	老司机
lsn	两三年	硫酸钠
lsr	累死人	冷死人
lss	凉飕飕	冷飕飕	两三岁
ltd	鹿特丹	连通的
lte	老头儿	聊天儿
ltl	两条路	乱套了	老头乐
ltp	老太婆	乐天派	恋童癖
ltu	立体声	聊天室
ltx	老同学	离退休	两条线
lvv	连轴转	笼罩着
lvy	雷阵雨	老中医
lwe	遛弯儿	拉威尔
lxh	理想化	冷笑话	柳下惠
lxl	留下了	留下来	类型论
lxq	了下去	拉下去	沦陷区
lxt	旅行团	练习题
lxv	老想着	旅行者
lxx	连续性	流行性	来学习
lxz	两下子	螺旋藻
lyb	另一半	老一辈	留言簿
lyc	来一次	另一侧
lyh	联谊会	莱茵河	罗永浩
lyl	聊一聊	利用率	练一练
lym	另一面	老爷们
lyp	录音棚	另一篇
lyq	路由器	连衣裙	零用钱
lyu	露一手	录音室
lyv	另一种	旅游者	另一只
lyw	另一位	类药物
lyy	来源于	老爷爷	绿油油
lzh	老字号	量子化
lzz	老祖宗	乱糟糟	乐滋滋
mbq	买不起	摸不清
mbr	明白人	莫不如
mbt	摸不透	绵白糖
mby	没必要	没毕业
mdm	面对面	门对门
meb	墨尔本	马尔堡
meg	明儿个	摩尔根
meq	门儿清
met	马耳他	民二庭
mfl	麻烦了	谋福利
mfv	每分钟	魔法阵	模仿者
mfx	没发现	密封性
mgd	没搞懂	敏感度	镁光灯
mgf	没工夫	没辜负
mgp	冒个泡	买股票
mhe	毛孩儿	眯会儿
mhh	明晃晃	每回合
mhl	买回来	梅花鹿	闷葫芦
mhq	灭火器	没好气	买回去
mix	没出息	没承想	没出现
mkf	麦克风	迈克菲
mkn	没可能	麦康纳
mks	马克思	马库斯
mld	没料到	忙碌的
mli	美联储	名利场
mlj	美利坚	汨罗江	麻辣鸡
mll	毛利率	迷路了
mls	马拉松	莫里斯
mlu	马铃薯	马路上
mlv	面临着	目录中
mlw	麻辣味	马拉维
mly	没理由	马来亚	玛利亚
mlz	仫佬族	茉莉子
mmi	毛毛虫	苗木诚
mmv	每秒钟	冥冥中	弥漫着
mmy	毛毛雨	眯眯眼
mnh	慕尼黑	没奈何	闽南话
mnl	马尼拉	没能力
mny	木乃伊	闽南语
mpt	孟婆汤	没跑题
mqd	马其顿	玛奇朵	明确的
